model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,1,11,0.14203103686851523,0.44782966124248574
GaussianNB,overall_accuracy_equality,1,12,0.12388433919039418,0.4800991319158101
GaussianNB,overall_accuracy_equality,1,13,0.12377741787330696,0.47974303122571227
GaussianNB,overall_accuracy_equality,1,14,0.1246820875883306,0.47906183746550735
GaussianNB,overall_accuracy_equality,1,15,0.12517936622924947,0.47784405648110306
GaussianNB,overall_accuracy_equality,1,16,0.1268840622654182,0.47858324995426227
GaussianNB,overall_accuracy_equality,1,17,0.13700071279214557,0.45640864361100797
GaussianNB,overall_accuracy_equality,1,18,0.12434779457857573,0.4807721090388279
GaussianNB,overall_accuracy_equality,1,19,0.12224155314049451,0.47807203723035113
GaussianNB,overall_accuracy_equality,1,20,0.11944446411668225,0.47863482122260437
GaussianNB,overall_accuracy_equality,1,21,0.12536324195822252,0.48104301070254996
GaussianNB,overall_accuracy_equality,1,22,0.12366969323563115,0.4782704306675541
GaussianNB,overall_accuracy_equality,1,23,0.1216597188277192,0.48042134534227376
GaussianNB,overall_accuracy_equality,1,24,0.1325595761171777,0.47020688178359
GaussianNB,overall_accuracy_equality,1,25,0.14189670112028005,0.45496806159179165
GaussianNB,overall_accuracy_equality,1,26,0.124788242972808,0.4792805655195639
GaussianNB,overall_accuracy_equality,1,27,0.1325537135483944,0.4665637873995536
GaussianNB,overall_accuracy_equality,1,28,0.12410874515980544,0.4790718297796812
GaussianNB,overall_accuracy_equality,1,29,0.12476535288886373,0.4794402227888377
GaussianNB,overall_accuracy_equality,1,30,0.14378262180512505,0.4462900523410305
GaussianNB,overall_accuracy_equality,1,31,0.12109368676713214,0.47983394247239186
GaussianNB,overall_accuracy_equality,1,32,0.12324756383284013,0.48301101771171473
GaussianNB,overall_accuracy_equality,1,33,0.12677778850544794,0.4643835786846847
GaussianNB,overall_accuracy_equality,1,34,0.1334790516496224,0.43262246381251834
GaussianNB,overall_accuracy_equality,1,35,0.13845344763534922,0.45380752075141373
GaussianNB,overall_accuracy_equality,1,36,0.12422079692936933,0.48007271468285295
GaussianNB,overall_accuracy_equality,1,37,0.12303582223851572,0.4775519551656237
GaussianNB,overall_accuracy_equality,1,38,0.1250338915243677,0.48060143548332135
GaussianNB,overall_accuracy_equality,1,39,0.1382846731357154,0.4600458340660585
GaussianNB,overall_accuracy_equality,1,40,0.1238742217482216,0.47847485163862047
GaussianNB,overall_accuracy_equality,1,41,0.12052698103984033,0.4772024009882831
GaussianNB,overall_accuracy_equality,1,42,0.11895415070260798,0.4805113155463536
GaussianNB,overall_accuracy_equality,1,43,0.14515777465439594,0.45172125265352564
GaussianNB,overall_accuracy_equality,1,44,0.12394371978772589,0.48359279424497537
GaussianNB,overall_accuracy_equality,1,45,0.1376154028056269,0.4567700991539932
GaussianNB,overall_accuracy_equality,1,46,0.13947943942319227,0.4567131471610075
GaussianNB,overall_accuracy_equality,1,47,0.13681123966112385,0.45568492780928865
GaussianNB,overall_accuracy_equality,1,48,0.13797036116174227,0.45814125330867195
GaussianNB,overall_accuracy_equality,1,49,0.12429752494501514,0.48029855349229666
GaussianNB,overall_accuracy_equality,1,50,0.13290738608621394,0.4573479791860175
GaussianNB,overall_accuracy_equality,1,51,0.12341597880078678,0.4774436843768858
GaussianNB,overall_accuracy_equality,1,52,0.12570237609881685,0.47928748289033635
GaussianNB,overall_accuracy_equality,1,53,0.1249015370973916,0.4775456219071166
GaussianNB,overall_accuracy_equality,1,54,0.13149105142674974,0.4670359857175232
GaussianNB,overall_accuracy_equality,1,55,0.1226608860697366,0.479766111829663
GaussianNB,overall_accuracy_equality,1,56,0.09868043499103651,0.42332584173956933
GaussianNB,overall_accuracy_equality,1,57,0.14205753516764472,0.4581611947911638
GaussianNB,overall_accuracy_equality,1,58,0.12494791339694591,0.4715364827712376
GaussianNB,overall_accuracy_equality,1,59,0.12186794792630032,0.4754014060125161
GaussianNB,overall_accuracy_equality,1,60,0.13471924461454532,0.4580729237920461
GaussianNB,overall_accuracy_equality,1,61,0.12245133403038541,0.4811206521832839
GaussianNB,overall_accuracy_equality,1,62,0.0733977621035892,0.4249404600492112
GaussianNB,overall_accuracy_equality,1,63,0.12433213768266979,0.4755939492267484
