model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,70,0.21176673567977913,0.4438959063334711
GaussianNB,overall_accuracy_equality,0,71,0.1532034632034632,0.434373303270569
GaussianNB,overall_accuracy_equality,0,72,0.12122310057092668,0.3600010175163978
GaussianNB,overall_accuracy_equality,0,73,0.2455808080808081,0.3836379107743425
GaussianNB,overall_accuracy_equality,0,74,0.14152167277167274,0.4695372213088749
GaussianNB,overall_accuracy_equality,0,75,0.0575483580746739,0.32443691707274047
GaussianNB,overall_accuracy_equality,0,76,0.07651713275283062,0.3950051439141467
GaussianNB,overall_accuracy_equality,0,77,0.21502164502164503,0.4707105300601236
GaussianNB,overall_accuracy_equality,0,78,0.08299830604178435,0.4488548239192126
GaussianNB,overall_accuracy_equality,0,79,0.1379485852311939,0.31721292862796346
