model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,1,11,0.11698775605681515,0.19206765751438612
GaussianNB,overall_accuracy_equality,1,12,0.16408468914761826,0.24644446183790777
GaussianNB,overall_accuracy_equality,1,13,0.13833272458002094,0.24890230766401564
GaussianNB,overall_accuracy_equality,1,14,0.13611347052066936,0.19196935109837243
GaussianNB,overall_accuracy_equality,1,15,0.08674114104550693,0.20820971014817258
GaussianNB,overall_accuracy_equality,1,16,0.11297397026858153,0.27769986153739157
GaussianNB,overall_accuracy_equality,1,17,0.10932962664513009,0.2932672282172317
GaussianNB,overall_accuracy_equality,1,18,0.0682747628580962,0.2645547196220803
GaussianNB,overall_accuracy_equality,1,19,0.11668280232353462,0.21233608028014408
GaussianNB,overall_accuracy_equality,1,20,0.08609557109557106,0.1485976680605946
GaussianNB,overall_accuracy_equality,1,21,0.08254977004977007,0.18512111230808675
GaussianNB,overall_accuracy_equality,1,22,0.08772704643790587,0.19438520907926796
GaussianNB,overall_accuracy_equality,1,23,0.11912460983186209,0.17755338927590308
GaussianNB,overall_accuracy_equality,1,24,0.05872329454054746,0.16346636318527294
GaussianNB,overall_accuracy_equality,1,25,0.046860449492028444,0.24062997226156624
GaussianNB,overall_accuracy_equality,1,26,0.06882719089291855,0.16237260651632812
GaussianNB,overall_accuracy_equality,1,27,0.12561948715135524,0.30987804869716484
GaussianNB,overall_accuracy_equality,1,28,0.08302972981937004,0.26476375249815437
GaussianNB,overall_accuracy_equality,1,29,0.10034974174765829,0.2110558756659421
GaussianNB,overall_accuracy_equality,1,30,0.06969417227603172,0.18891232724661855
GaussianNB,overall_accuracy_equality,1,31,0.09172513552343117,0.24690618057915445
GaussianNB,overall_accuracy_equality,1,32,0.10215124797570735,0.2447731673012478
GaussianNB,overall_accuracy_equality,1,33,0.12446310341253934,0.22852039838073662
GaussianNB,overall_accuracy_equality,1,34,0.075726196976197,0.15165521949672583
GaussianNB,overall_accuracy_equality,1,35,0.10607770376077012,0.2072191357662074
GaussianNB,overall_accuracy_equality,1,36,0.07266244330051104,0.15089500576376108
GaussianNB,overall_accuracy_equality,1,37,0.0973090677257344,0.18574295176833786
GaussianNB,overall_accuracy_equality,1,38,0.08757452962115433,0.1781694692602635
GaussianNB,overall_accuracy_equality,1,39,0.13524512451047538,0.28692415334478255
GaussianNB,overall_accuracy_equality,1,40,0.15066138786129435,0.20868821380947056
GaussianNB,overall_accuracy_equality,1,41,0.1073178965457287,0.20829059941177958
GaussianNB,overall_accuracy_equality,1,42,0.1200348334650282,0.20574809837630523
GaussianNB,overall_accuracy_equality,1,43,0.03689704911766914,0.24107543622038652
GaussianNB,overall_accuracy_equality,1,44,0.07189429510469214,0.24057026511570753
GaussianNB,overall_accuracy_equality,1,45,0.11473365326296708,0.28442083460392265
GaussianNB,overall_accuracy_equality,1,46,0.08434524428660582,0.2663340099128646
GaussianNB,overall_accuracy_equality,1,47,0.06662548930855569,0.22178911631593554
GaussianNB,overall_accuracy_equality,1,48,0.092942542605014,0.21199202826113409
GaussianNB,overall_accuracy_equality,1,49,0.0767446165787489,0.2146124895799799
GaussianNB,overall_accuracy_equality,1,50,0.08399837528493137,0.13359398015218482
GaussianNB,overall_accuracy_equality,1,51,0.09813857355524022,0.21709944704666467
GaussianNB,overall_accuracy_equality,1,52,0.1167245547070769,0.2663968862125008
GaussianNB,overall_accuracy_equality,1,53,0.06929772709173884,0.1961583768822223
GaussianNB,overall_accuracy_equality,1,54,0.1825238926540466,0.2772995036172155
GaussianNB,overall_accuracy_equality,1,55,0.053394540765171694,0.1871285754052139
GaussianNB,overall_accuracy_equality,1,56,0.22224256099589212,0.22044089735367098
GaussianNB,overall_accuracy_equality,1,57,0.0633906472973203,0.21016120248100179
GaussianNB,overall_accuracy_equality,1,58,0.09396214721586574,0.2191652867303975
GaussianNB,overall_accuracy_equality,1,59,0.06271489466638486,0.2107468683020104
GaussianNB,overall_accuracy_equality,1,60,0.10548651455626713,0.23949685848693128
GaussianNB,overall_accuracy_equality,1,61,0.14559104700806008,0.25248857323998597
GaussianNB,overall_accuracy_equality,1,62,0.11261346151321013,0.2381761608832795
GaussianNB,overall_accuracy_equality,1,63,0.09055506735564126,0.2725227558911588
GaussianNB,overall_accuracy_equality,1,64,0.06930801217565924,0.2437210523031414
GaussianNB,overall_accuracy_equality,1,65,0.14486732910381253,0.23620683817735166
GaussianNB,overall_accuracy_equality,1,66,0.13765736130867712,0.24493922585671832
GaussianNB,overall_accuracy_equality,1,67,0.1203924487230898,0.21886706583407853
GaussianNB,overall_accuracy_equality,1,68,0.10410342191759285,0.21298588735349167
GaussianNB,overall_accuracy_equality,1,69,0.10536696684228766,0.25989141859474085
GaussianNB,overall_accuracy_equality,1,70,0.09493284666660103,0.12100057142897697
GaussianNB,overall_accuracy_equality,1,71,0.08709138747640856,0.2379829325554674
GaussianNB,overall_accuracy_equality,1,72,0.12073494117581168,0.17190617616831552
GaussianNB,overall_accuracy_equality,1,73,0.18235424002817657,0.2024989394321739
GaussianNB,overall_accuracy_equality,1,74,0.08207535220873362,0.2140604602523937
GaussianNB,overall_accuracy_equality,1,75,0.07604653855903025,0.2743689756848069
GaussianNB,overall_accuracy_equality,1,76,0.04990733245826162,0.18663313893713265
GaussianNB,overall_accuracy_equality,1,77,0.049194887924865066,0.2305895858993198
GaussianNB,overall_accuracy_equality,1,78,0.08321994822950708,0.2166917869983488
GaussianNB,overall_accuracy_equality,1,79,0.07295722012541234,0.15047701251928988
GaussianNB,overall_accuracy_equality,1,80,0.18658391467967694,0.27506446851713484
