model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,2,26,0.01946078588590955,0.3584775263291773,0.5
GaussianNB,overall_accuracy_equality,2,27,0.04982826142783767,0.3679535541874852,0.25
GaussianNB,overall_accuracy_equality,2,28,0.05706883253976725,0.3587993644210562,0.75
GaussianNB,overall_accuracy_equality,2,29,0.017747051452079637,0.324272652147963,0.25
GaussianNB,overall_accuracy_equality,2,30,0.03696793972367193,0.3402489014292236,0.5
GaussianNB,overall_accuracy_equality,2,31,0.0870371110129301,0.3477978882592749,0.75
GaussianNB,overall_accuracy_equality,2,32,0.05676107944209857,0.3358979347478788,0.75
GaussianNB,overall_accuracy_equality,2,33,0.11724283840128345,0.3788831863899924,0.5
GaussianNB,overall_accuracy_equality,2,34,0.04799754703173004,0.3344480097679767,0.5
GaussianNB,overall_accuracy_equality,2,35,0.06467952186361903,0.3238163980159682,0.5
GaussianNB,overall_accuracy_equality,2,36,0.08206953105327275,0.3400698282133542,0.25
GaussianNB,overall_accuracy_equality,2,37,0.05264821916378468,0.3215028058254851,0.75
GaussianNB,overall_accuracy_equality,2,38,0.10204365802037307,0.37633530601086623,0.5
GaussianNB,overall_accuracy_equality,2,39,0.07804027083699129,0.38565573177470014,0.5
GaussianNB,overall_accuracy_equality,2,40,0.05614527408145778,0.3474699043978201,0.0
GaussianNB,overall_accuracy_equality,2,41,0.0715373050699481,0.3638440097032352,0.75
GaussianNB,overall_accuracy_equality,2,42,0.05236294017184728,0.31076966064677525,0.75
GaussianNB,overall_accuracy_equality,2,43,0.04478252255132306,0.34589933974066955,0.5
GaussianNB,overall_accuracy_equality,2,44,0.0826481799109465,0.3431111180106275,0.75
GaussianNB,overall_accuracy_equality,2,45,0.06385966376862598,0.3167575222476153,0.5
GaussianNB,overall_accuracy_equality,2,46,0.10125611448245836,0.3194733710535156,0.0
GaussianNB,overall_accuracy_equality,2,47,0.024991208938918263,0.3524251359843902,0.0
GaussianNB,overall_accuracy_equality,2,48,0.059735286367951584,0.3152784264991806,0.5
GaussianNB,overall_accuracy_equality,2,49,0.07362842090714553,0.3177159671187965,0.5
GaussianNB,overall_accuracy_equality,2,50,0.0953005639546266,0.3288145829001746,0.5
GaussianNB,overall_accuracy_equality,2,51,0.06359825180030554,0.3149468562776379,0.5
GaussianNB,overall_accuracy_equality,2,52,0.056649057527131626,0.3495532284226561,1.0
GaussianNB,overall_accuracy_equality,2,53,0.09248381958052372,0.3130434565145045,0.75
GaussianNB,overall_accuracy_equality,2,54,0.08033426584924272,0.34049306132019697,0.25
GaussianNB,overall_accuracy_equality,2,55,0.06904182900495695,0.30685892884318944,0.5
GaussianNB,overall_accuracy_equality,2,56,0.02150002913337909,0.33482083398775075,0.75
GaussianNB,overall_accuracy_equality,2,57,0.03011728468364977,0.3815703242456581,0.25
GaussianNB,overall_accuracy_equality,2,58,0.095155653470594,0.3359678756376692,0.25
GaussianNB,overall_accuracy_equality,2,59,0.11440255356421734,0.3251804404894985,0.5
GaussianNB,overall_accuracy_equality,2,60,0.040980410483981065,0.3415693103041043,0.5
GaussianNB,overall_accuracy_equality,2,61,0.03403876024573852,0.3504960905751853,0.5
GaussianNB,overall_accuracy_equality,2,62,0.06560983050644703,0.3489965575718512,0.75
GaussianNB,overall_accuracy_equality,2,63,0.03128706392602018,0.3568800483304723,0.5
GaussianNB,overall_accuracy_equality,2,64,0.04357638799422142,0.36445624045162894,0.5
GaussianNB,overall_accuracy_equality,2,65,0.10110611549518543,0.3150843218556456,0.5
GaussianNB,overall_accuracy_equality,2,66,0.10247954449054136,0.2897290303591439,0.5
GaussianNB,overall_accuracy_equality,2,67,0.07334282905538503,0.3218626774658214,0.5
GaussianNB,overall_accuracy_equality,2,68,0.09495920745920744,0.3066986625697369,0.5
GaussianNB,overall_accuracy_equality,2,69,0.06833676263304128,0.3058222565517414,0.25
GaussianNB,overall_accuracy_equality,2,70,0.0749290853382068,0.35665619032442936,0.5
GaussianNB,overall_accuracy_equality,2,71,0.05281044074328195,0.3278665092286511,0.75
GaussianNB,overall_accuracy_equality,2,72,0.07131498280687751,0.3341669059635908,0.25
GaussianNB,overall_accuracy_equality,2,73,0.11675047233800555,0.3562952071218273,0.25
GaussianNB,overall_accuracy_equality,2,74,0.06422176151169426,0.3797128314879238,0.0
GaussianNB,overall_accuracy_equality,2,75,0.0601598966402018,0.3181375211672121,0.25
GaussianNB,overall_accuracy_equality,2,76,0.054743198874296434,0.3150048147124475,0.5
GaussianNB,overall_accuracy_equality,2,77,0.10661685685115396,0.3241004846075727,0.5
GaussianNB,overall_accuracy_equality,2,78,0.0820053007332803,0.33583023193222444,0.75
GaussianNB,overall_accuracy_equality,2,79,0.07147108519597539,0.34998879688778106,1.0
GaussianNB,overall_accuracy_equality,2,80,0.05849392987979854,0.3189046132327734,0.0
GaussianNB,overall_accuracy_equality,2,81,0.06882758862131408,0.29157234891181805,0.25
GaussianNB,overall_accuracy_equality,2,82,0.11402120333364454,0.316371712808443,0.25
GaussianNB,overall_accuracy_equality,2,83,0.05268345749081098,0.3723284683773476,0.25
GaussianNB,overall_accuracy_equality,2,84,0.013905580750305957,0.33695524063452265,0.75
GaussianNB,overall_accuracy_equality,2,85,0.06829320685373624,0.2792655574753935,0.25
GaussianNB,overall_accuracy_equality,2,86,0.0806263128987047,0.3617685193200441,0.5
GaussianNB,overall_accuracy_equality,2,87,0.02615965230873796,0.28418026424209525,0.0
GaussianNB,overall_accuracy_equality,2,88,0.05473833253486643,0.345428868097832,0.5
GaussianNB,overall_accuracy_equality,2,89,0.06404963140903683,0.3320116838064345,0.5
GaussianNB,overall_accuracy_equality,2,90,0.017745838473731762,0.3207815684949761,0.25
GaussianNB,overall_accuracy_equality,2,91,0.07550122621860944,0.3376194191816446,0.0
GaussianNB,overall_accuracy_equality,2,92,0.07216814773682034,0.33181922603995484,0.75
GaussianNB,overall_accuracy_equality,2,93,0.017362627286121785,0.3208382119175682,0.25
GaussianNB,overall_accuracy_equality,2,94,0.043260500260615536,0.3158273741668912,0.75
GaussianNB,overall_accuracy_equality,2,95,0.09042774494077538,0.3089440549172763,0.25
GaussianNB,overall_accuracy_equality,2,96,0.0376130080962313,0.3130359640369579,0.5
GaussianNB,overall_accuracy_equality,2,97,0.113954160741425,0.3039682275724388,0.5
GaussianNB,overall_accuracy_equality,2,98,0.07630591501702644,0.3314511759859187,0.25
GaussianNB,overall_accuracy_equality,2,99,0.0613854156454087,0.3365555394069948,0.5
GaussianNB,overall_accuracy_equality,2,100,0.08076462028296169,0.3350128811622565,0.0
GaussianNB,overall_accuracy_equality,3,1,0.08624913342523796,0.32138579900908315,0.75
GaussianNB,overall_accuracy_equality,3,2,0.03304506765784723,0.2956729398310922,0.75
GaussianNB,overall_accuracy_equality,3,3,0.04886955902094517,0.32200258486684386,0.25
GaussianNB,overall_accuracy_equality,3,4,0.06477963591421583,0.3144823085110111,0.0
GaussianNB,overall_accuracy_equality,3,5,0.06744920838080926,0.3475934858660932,0.5
GaussianNB,overall_accuracy_equality,3,6,0.07955207535292294,0.32737477066732,0.25
GaussianNB,overall_accuracy_equality,3,7,0.1053386796685132,0.2964125666662565,0.5
GaussianNB,overall_accuracy_equality,3,8,0.10121385460218664,0.3319023704874385,0.25
GaussianNB,overall_accuracy_equality,3,9,0.12013578892853854,0.3440764841894353,0.0
GaussianNB,overall_accuracy_equality,3,10,0.042320055657773414,0.2861758118006353,0.5
GaussianNB,overall_accuracy_equality,3,11,0.0557840220701061,0.3042690258164935,0.75
GaussianNB,overall_accuracy_equality,3,12,0.09301327967187964,0.30477752982802264,0.0
GaussianNB,overall_accuracy_equality,3,13,0.07009145463854949,0.3494217378661897,0.75
GaussianNB,overall_accuracy_equality,3,14,0.0701173888779821,0.33797898403077403,0.75
GaussianNB,overall_accuracy_equality,3,15,0.0888677765909438,0.3565705073251147,1.0
