model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,1,67,0.05520371378022296,0.6588108118849056,0.75
GaussianNB,overall_accuracy_equality,1,68,0.10259324009324008,0.6446300115779093,0.5
GaussianNB,overall_accuracy_equality,1,69,0.07924865608310266,0.6534657501580647,0.0
GaussianNB,overall_accuracy_equality,1,70,0.04060199924060989,0.6830956293808976,0.5
GaussianNB,overall_accuracy_equality,1,71,0.08806423106376468,0.6725440443464513,0.5
GaussianNB,overall_accuracy_equality,1,72,0.07480989224818646,0.6806982667231574,0.5
GaussianNB,overall_accuracy_equality,1,73,0.08727377234079475,0.6765003023157732,0.25
GaussianNB,overall_accuracy_equality,1,74,0.05635730710397491,0.6891174651517064,0.25
GaussianNB,overall_accuracy_equality,1,75,0.04875124607341669,0.6927397513703913,0.75
GaussianNB,overall_accuracy_equality,1,76,0.024777986241400873,0.6734673166880876,0.5
GaussianNB,overall_accuracy_equality,1,77,0.10807419654378778,0.6755139057507771,0.5
GaussianNB,overall_accuracy_equality,1,78,0.07568421054792523,0.6813738880702351,1.0
GaussianNB,overall_accuracy_equality,1,79,0.07092113126227353,0.6889245874762757,0.75
GaussianNB,overall_accuracy_equality,1,80,0.09280347447743378,0.6851048883907339,0.0
GaussianNB,overall_accuracy_equality,1,81,0.058712168852116886,0.660607170968616,0.25
GaussianNB,overall_accuracy_equality,1,82,0.11306042708762959,0.6681458843135369,0.25
GaussianNB,overall_accuracy_equality,1,83,0.03594911463259509,0.6925258421434932,1.0
GaussianNB,overall_accuracy_equality,1,84,0.06503268536067622,0.7065986343363438,0.75
GaussianNB,overall_accuracy_equality,1,85,0.04439055270639716,0.6542172049944076,0.5
GaussianNB,overall_accuracy_equality,1,86,0.07729323383033154,0.649538130175527,0.25
GaussianNB,overall_accuracy_equality,1,87,0.1148266942072696,0.6729223077565946,0.25
GaussianNB,overall_accuracy_equality,1,88,0.036691605422400575,0.6590298136286739,0.5
GaussianNB,overall_accuracy_equality,1,89,0.07775529722481778,0.6864838678139993,0.5
GaussianNB,overall_accuracy_equality,1,90,0.0551084409538552,0.6711917303497548,0.0
GaussianNB,overall_accuracy_equality,1,91,0.0801934413949475,0.6826748798048831,0.5
GaussianNB,overall_accuracy_equality,1,92,0.1077325639788341,0.7001638709683407,1.0
GaussianNB,overall_accuracy_equality,1,93,0.019897592321086843,0.6587280774780774,0.25
GaussianNB,overall_accuracy_equality,1,94,0.05131380157253754,0.6659737114292846,0.75
